[{No.,1
{No.,10677
Ticker,XNOV
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - November
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.99
Change,0.00%
Volume,0}
{No.,10678
Ticker,XNTK
Company,State Street SPDR NYSE Technology ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,266.38
Change,0.00%
Volume,0}
{No.,10679
Ticker,XOCT
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - October
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.84
Change,0.00%
Volume,0}
{No.,10680
Ticker,XOEF
Company,iShares S&P 500 ex S&P 100 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.58
Change,0.00%
Volume,0}
{No.,10681
Ticker,XOEX
Company,Xtrackers S&P 100 Ex Top 20 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,37.12
Change,0.00%
Volume,0}
{No.,10682
Ticker,XOM
Company,Exxon Mobil Corp
Sector,Energy
Industry,Oil & Gas Integrated
Country,USA
Market Cap,622284.94
P/E,22.05
Price,147.56
Change,0.94%
Volume,9154}
{No.,10683
Ticker,XOMA
Company,XOMA Royalty Corp
Sector,Healthcare
Industry,Biotechnology
Country,USA
Market Cap,303.01
P/E,32.82
Price,24.47
Change,0.00%
Volume,0}
{No.,10684
Ticker,XOMO
Company,YieldMax XOM Option Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,12.81
Change,0.00%
Volume,0}
{No.,10685
Ticker,XOMX
Company,Direxion Daily XOM Bull 2X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.50
Change,0.00%
Volume,0}
{No.,10686
Ticker,XOMZ
Company,Direxion Daily XOM Bear 1X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,17.85
Change,0.00%
Volume,0}
{No.,10687
Ticker,XONE
Company,BondBloxx Bloomberg One Year Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.57
Change,0.00%
Volume,0}
{No.,10688
Ticker,XOP
Company,State Street SPDR S&P Oil & Gas Exploration & Production ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,146.76
Change,0.94%
Volume,6010}
{No.,10689
Ticker,XOS
Company,Xos Inc
Sector,Industrials
Industry,Farm & Heavy Construction Machinery
Country,USA
Market Cap,25.39
P/E,
Price,2.24
Change,0.00%
Volume,0}
{No.,10690
Ticker,XOVR
Company,ERShares Private-Public Crossover ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,17.50
Change,1.39%
Volume,2105}
{No.,10691
Ticker,XP
Company,XP Inc
Sector,Financial
Industry,Capital Markets
Country,Brazil
Market Cap,10375.49
P/E,11.92
Price,19.69
Change,0.00%
Volume,0}
{No.,10692
Ticker,XPAY
Company,Roundhill S&P 500 Target 20 Managed Distribution ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.15
Change,0.00%
Volume,0}
{No.,10693
Ticker,XPEG
Company,Leverage Shares 2X Long XPEV Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,10.92
Change,0.00%
Volume,0}
{No.,10694
Ticker,XPEL
Company,XPEL Inc
Sector,Consumer Cyclical
Industry,Auto Parts
Country,USA
Market Cap,1445.10
P/E,30.99
Price,52.21
Change,0.00%
Volume,0}
{No.,10695
Ticker,XPER
Company,Xperi Inc
Sector,Technology
Industry,Software - Application
Country,USA
Market Cap,248.82
P/E,35.63
Price,5.37
Change,0.00%
Volume,0}
{No.,10696
Ticker,XPEV
Company,XPeng Inc ADR
Sector,Consumer Cyclical
Industry,Auto Manufacturers
Country,China
Market Cap,13978.41
P/E,
Price,17.93
Change,0.50%
Volume,4372}
{No.,10697
Ticker,XPH
Company,State Street SPDR S&P Pharmaceuticals ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,57.49
Change,0.00%
Volume,0}
{No.,10698
Ticker,XPL
Company,Solitario Resources Corp
Sector,Basic Materials
Industry,Other Industrial Metals & Mining
Country,USA
Market Cap,64.56
P/E,
Price,0.71
Change,0.00%
Volume,0}
{No.,10699
Ticker,XPND
Company,First Trust Expanded Technology ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,34.06
Change,0.00%
Volume,0}
{No.,10700
Ticker,XPO
Company,XPO Inc
Sector,Industrials
Industry,Trucking
Country,USA
Market Cap,23681.34
P/E,76.43
Price,202.15
Change,0.00%
Volume,6}
{No.,10701
Ticker,XPOF
Company,Xponential Fitness Inc
Sector,Consumer Cyclical
Industry,Leisure
Country,USA
Market Cap,401.27
P/E,
Price,8.23
Change,0.00%
Volume,0}
{No.,10702
Ticker,XPON
Company,Expion360 Inc
Sector,Industrials
Industry,Electrical Equipment & Parts
Country,USA
Market Cap,7.05
P/E,
Price,0.73
Change,-2.54%
Volume,927}
{No.,10703
Ticker,XPP
Company,ProShares Ultra FTSE China 50 2x Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.17
Change,0.00%
Volume,0}
{No.,10704
Ticker,XPRO
Company,Expro Group Holdings N.V
Sector,Energy
Industry,Oil & Gas Equipment & Services
Country,USA
Market Cap,1853.31
P/E,27.61
Price,16.32
Change,0.06%
Volume,245}
{No.,10705
Ticker,XQQI
Company,NEOS Boosted Nasdaq-100 High Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.11
Change,0.00%
Volume,0}
{No.,10706
Ticker,XRAY
Company,DENTSPLY Sirona Inc
Sector,Healthcare
Industry,Medical Instruments & Supplies
Country,USA
Market Cap,2482.43
P/E,
Price,12.44
Change,0.00%
Volume,0}
{No.,10707
Ticker,XRLV
Company,Invesco S&P 500 ex-Rate Sensitive Low Volatility ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,57.45
Change,0.00%
Volume,0}
{No.,10708
Ticker,XRLX
Company,FundX Conservative ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,46.20
Change,0.00%
Volume,0}
{No.,10709
Ticker,XRMI
Company,Global X S&P 500 Risk Managed Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,17.82
Change,0.00%
Volume,0}
{No.,10710
Ticker,XRP
Company,Bitwise XRP ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,16.61
Change,0.00%
Volume,0}
{No.,10711
Ticker,XRPC
Company,Canary XRP ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,15.83
Change,0.00%
Volume,0}
{No.,10712
Ticker,XRPI
Company,Volatility Shares Trust XRP ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,8.51
Change,0.00%
Volume,0}
{No.,10713
Ticker,XRPK
Company,T-REX 2X Long XRP Daily Target ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,10.31
Change,0.00%
Volume,0}
{No.,10714
Ticker,XRPM
Company,Amplify XRP 3% Monthly Premium Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,16.68
Change,0.00%
Volume,0}
{No.,10715
Ticker,XRPN
Company,Armada Acquisition Corp. II
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,324.43
P/E,
Price,10.27
Change,0.00%
Volume,0}
{No.,10716
Ticker,XRPR
Company,REX-Osprey XRP ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,12.19
Change,0.00%
Volume,0}
{No.,10717
Ticker,XRPT
Company,Volatility Shares Trust XRP 2X ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,2.58
Change,-2.64%
Volume,45339}
{No.,10718
Ticker,XRPZ
Company,Franklin XRP Trust
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,16.13
Change,0.00%
Volume,0}
{No.,10719
Ticker,XRT
Company,State Street SPDR S&P Retail ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,87.40
Change,0.00%
Volume,96}
{No.,10720
Ticker,XRTX
Company,XORTX Therapeutics Inc
Sector,Healthcare
Industry,Biotechnology
Country,Canada
Market Cap,2.97
P/E,
Price,0.43
Change,-1.61%
Volume,2448}
{No.,10721
Ticker,XRX
Company,Xerox Holdings Corp
Sector,Industrials
Industry,Business Equipment & Supplies
Country,USA
Market Cap,268.77
P/E,
Price,2.09
Change,2.45%
Volume,2728}
{No.,10722
Ticker,XSD
Company,State Street SPDR S&P Semiconductor ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,361.25
Change,0.33%
Volume,524}
{No.,10723
Ticker,XSEP
Company,FT Vest U.S. Equity Enhance & Moderate Buffer ETF - September
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,42.52
Change,0.00%
Volume,0}
{No.,10724
Ticker,XSHD
Company,Invesco S&P SmallCap High Dividend Low Volatility ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,13.61
Change,0.00%
Volume,0}
{No.,10725
Ticker,XSHQ
Company,Invesco S&P SmallCap Quality ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.60
Change,0.00%
Volume,0}
{No.,10726
Ticker,XSLLU
Company,Xsolla SPAC 1
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,206.14
P/E,
Price,9.90
Change,0.00%
Volume,0}
{No.,10727
Ticker,XSLV
Company,Invesco S&P SmallCap Low Volatility ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,50.10
Change,0.00%
Volume,0}
{No.,10728
Ticker,XSMO
Company,Invesco S&P SmallCap Momentum ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,79.60
Change,0.00%
Volume,0}
{No.,10729
Ticker,XSOE
Company,WisdomTree Emerging Markets ex-State-Owned Enterprises Fund
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,43.05
Change,0.00%
Volume,0}
{No.,10730
Ticker,XSPI
Company,NEOS Boosted S&P 500 High Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.30
Change,0.00%
Volume,0}
{No.,10731
Ticker,XSVM
Company,Invesco S&P SmallCap Value with Momentum ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,63.47
Change,0.00%
Volume,0}
{No.,10732
Ticker,XSVN
Company,BondBloxx Bloomberg Seven Year Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,48.55
Change,0.00%
Volume,0}
{No.,10733
Ticker,XSW
Company,State Street SPDR S&P Software & Services ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,148.83
Change,0.00%
Volume,0}
{No.,10734
Ticker,XT
Company,iShares Future Exponential Technologies ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,72.19
Change,0.00%
Volume,0}
{No.,10735
Ticker,XTAP
Company,Innovator U.S. Equity Accelerated Plus ETF - April
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.98
Change,0.00%
Volume,0}
{No.,10736
Ticker,XTEN
Company,BondBloxx Bloomberg Ten Year Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.05
Change,0.00%
Volume,0}
{No.,10737
Ticker,XTIA
Company,XTI Aerospace Inc
Sector,Industrials
Industry,Aerospace & Defense
Country,USA
Market Cap,59.70
P/E,
Price,1.73
Change,0.00%
Volume,0}
{No.,10738
Ticker,XTJA
Company,Innovator U.S. Equity Accelerated Plus ETF - January
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,31.65
Change,0.00%
Volume,0}
{No.,10739
Ticker,XTJL
Company,Innovator U.S. Equity Accelerated Plus ETF - July
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.10
Change,0.00%
Volume,0}
{No.,10740
Ticker,XTKG
Company,X3 Holdings Co Ltd
Sector,Technology
Industry,Software - Application
Country,Singapore
Market Cap,3.35
P/E,
Price,0.12
Change,-1.01%
Volume,418658}
{No.,10741
Ticker,XTL
Company,State Street SPDR S&P Telecom ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,176.12
Change,0.00%
Volume,0}
{No.,10742
Ticker,XTLB
Company,X.T.L. Biopharmaceuticals Ltd. ADR
Sector,Healthcare
Industry,Biotechnology
Country,Israel
Market Cap,7.59
P/E,
Price,0.80
Change,-4.51%
Volume,400}
{No.,10743
Ticker,XTN
Company,State Street SPDR S&P Transportation ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,103.20
Change,0.00%
Volume,0}
{No.,10744
Ticker,XTNT
Company,Xtant Medical Holdings Inc
Sector,Healthcare
Industry,Medical Devices
Country,USA
Market Cap,82.67
P/E,57.89
Price,0.59
Change,0.00%
Volume,0}
{No.,10745
Ticker,XTOC
Company,Innovator U.S. Equity Accelerated Plus ETF - October
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,33.52
Change,0.00%
Volume,0}
{No.,10746
Ticker,XTR
Company,Global X S&P 500 Tail Risk ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,26.38
Change,0.00%
Volume,0}
{No.,10747
Ticker,XTRE
Company,BondBloxx Bloomberg Three Year Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.94
Change,0.00%
Volume,0}
{No.,10748
Ticker,XTWO
Company,BondBloxx Bloomberg Two Year Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.56
Change,0.00%
Volume,0}
{No.,10749
Ticker,XTWY
Company,BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,39.20
Change,0.00%
Volume,0}
{No.,10750
Ticker,XUDV
Company,Franklin U.S. Dividend Booster Index ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,28.93
Change,0.00%
Volume,0}
{No.,10751
Ticker,XUSP
Company,Innovator Uncapped Accelerated U.S. Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,47.20
Change,0.00%
Volume,0}
{No.,10752
Ticker,XV
Company,Simplify Target 15 Distribution ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,25.10
Change,0.00%
Volume,0}
{No.,10753
Ticker,XVOL
Company,Acruence Active Hedge U.S. Equity ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.45
Change,0.00%
Volume,0}
{No.,10754
Ticker,XVV
Company,iShares ESG Select Screened S&P 500 ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,52.01
Change,0.00%
Volume,0}
{No.,10755
Ticker,XWEL
Company,XWELL Inc
Sector,Healthcare
Industry,Diagnostics & Research
Country,USA
Market Cap,2.43
P/E,
Price,0.42
Change,0.67%
Volume,5838}
{No.,10756
Ticker,XWIN
Company,XMax Inc
Sector,Consumer Cyclical
Industry,Furnishings
Country,USA
Market Cap,269.63
P/E,
Price,6.26
Change,0.00%
Volume,0}
{No.,10757
Ticker,XXI
Company,Twenty One Capital Inc
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,4181.92
P/E,18.89
Price,6.42
Change,0.00%
Volume,0}
{No.,10758
Ticker,XXII
Company,22nd Century Group Inc
Sector,Consumer Defensive
Industry,Tobacco
Country,USA
Market Cap,2.95
P/E,
Price,5.78
Change,0.00%
Volume,0}
{No.,10759
Ticker,XXRP
Company,Teucrium 2x Long Daily XRP ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,4.95
Change,-2.37%
Volume,10665}
{No.,10760
Ticker,XXV
Company,Simplify Ancorato Target 25 Distribution ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.38
Change,0.00%
Volume,0}
{No.,10761
Ticker,XXX
Company,CYBER HORNET S&P 500 and XRP 75/25 Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.89
Change,0.00%
Volume,0}
{No.,10762
Ticker,XYF
Company,X Financial ADR
Sector,Financial
Industry,Credit Services
Country,China
Market Cap,131.63
P/E,0.92
Price,5.16
Change,0.00%
Volume,0}
{No.,10763
Ticker,XYL
Company,Xylem Inc
Sector,Industrials
Industry,Specialty Industrial Machinery
Country,USA
Market Cap,31453.77
P/E,32.94
Price,129.19
Change,0.79%
Volume,138}
{No.,10764
Ticker,XYLD
Company,Global X S&P 500 Covered Call ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,40.62
Change,-0.20%
Volume,2}
{No.,10765
Ticker,XYLG
Company,Global X S&P 500 Covered Call & Growth ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.46
Change,0.00%
Volume,0}
{No.,10766
Ticker,XYZ
Company,Block Inc
Sector,Technology
Industry,Software - Infrastructure
Country,USA
Market Cap,31112.60
P/E,10.30
Price,51.20
Change,0.77%
Volume,1415}
{No.,10767
Ticker,XYZG
Company,Leverage Shares 2X Long XYZ Daily ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,8.45
Change,0.00%
Volume,0}
{No.,10768
Ticker,XYZY
Company,YieldMax XYZ Option Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.86
Change,0.00%
Volume,0}
{No.,10769
Ticker,XZO
Company,Exzeo Group Inc
Sector,Financial
Industry,Insurance - Diversified
Country,USA
Market Cap,1384.26
P/E,
Price,15.25
Change,0.00%
Volume,0}
{No.,10770
Ticker,YAAS
Company,Youxin Technology Ltd
Sector,Technology
Industry,Software - Application
Country,China
Market Cap,14.20
P/E,
Price,1.26
Change,0.00%
Volume,0}
{No.,10771
Ticker,YALA
Company,Yalla Group Limited ADR
Sector,Technology
Industry,Software - Application
Country,United Arab Emirates
Market Cap,949.38
P/E,8.74
Price,7.12
Change,0.00%
Volume,0}
{No.,10772
Ticker,YALL
Company,God Bless America ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,44.15
Change,0.00%
Volume,0}
{No.,10773
Ticker,YANG
Company,Direxion Daily FTSE China Bear -3X Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,23.80
Change,-1.29%
Volume,4316}
{No.,10774
Ticker,YB
Company,Yuanbao Inc. ADR
Sector,Technology
Industry,Software - Application
Country,China
Market Cap,651.34
P/E,3.22
Price,20.75
Change,-0.46%
Volume,364}
{No.,10775
Ticker,YBIT
Company,YieldMax Bitcoin Option Income Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,24.63
Change,0.00%
Volume,0}
{No.,10776
Ticker,YBMN
Company,Defiance BMNR Option Income ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,15.48
Change,0.00%
Volume,0}
{No.,10777
Ticker,YBST
Company,GraniteShares YieldBoost Single Stock Universe ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,17.99
Change,0.00%
Volume,0}
{No.,10778
Ticker,YBTC
Company,Roundhill Bitcoin Covered Call Strategy ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,21.41
Change,0.00%
Volume,0}
{No.,10779
Ticker,YBTY
Company,GraniteShares YieldBoost TopYielders ETF
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,16.94
Change,0.00%
Volume,0}
{No.,10780
Ticker,YCBD
Company,cbdMD Inc
Sector,Healthcare
Industry,Drug Manufacturers - Specialty & Generic
Country,USA
Market Cap,8.15
P/E,
Price,0.78
Change,0.00%
Volume,0}
{No.,10781
Ticker,YCL
Company,ProShares Ultra Yen 2x Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,19.80
Change,0.00%
Volume,0}
{No.,10782
Ticker,YCS
Company,ProShares UltraShort Yen -2x Shares
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,49.47
Change,0.79%
Volume,100}
{No.,10783
Ticker,YCY
Company,AA Mission Acquisition Corp II
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,147.79
P/E,
Price,10.05
Change,0.00%
Volume,0}
{No.,10784
Ticker,YCY-U
Company,AA Mission Acquisition Corp II
Sector,Financial
Industry,Shell Companies
Country,USA
Market Cap,147.79
P/E,
Price,10.27
Change,0.00%
Volume,0}
{No.,10785
Ticker,YDDL
Company,One and one Green Technologies. Inc
Sector,Industrials
Industry,Waste Management
Country,Philippines
Market Cap,336.42
P/E,
Price,6.23
Change,0.00%
Volume,0}
{No.,10786
Ticker,YDEC
Company,FT Vest International Equity Moderate Buffer ETF - December
Sector,Financial
Industry,Exchange Traded Fund
Country,USA
Market Cap,
P/E,
Price,27.16
Change,0.00%
Volume,0}
{No.,10787
Ticker,YDES
Company,YD Bio Ltd
Sector,Healthcare
Industry,Biotechnology
Country,Taiwan
Market Cap,612.13
P/E,
Price,8.68
Change,0.00%
Volume,0}
{No.,10788
Ticker,YDKG
Company,Yueda Digital Holding
Sector,Communication Services
Industry,Advertising Agencies
Country,China
Market Cap,4.99
P/E,
Price,0.90
Change,-0.87%
Volume,99}
{No.,10789
Ticker,YEAR
Company,AB Ultra Short Income ETF
